participantN,age,gender,trialN,task,condition,FeatConj,setSize,proportion,timelimit,stType,imgName,timeTS,timeRel,runLength,runTest,touchTS,runN,runNH,stPosX,stPosY,col,row,touchX,touchY,touchDist,targDist,touchN,error,switches,changeScreen,resp_pos,group_selected,group_same,group_switch,strict_line,blocked_grouped,ratio,run_length,cl_same,cl_other,cl_blue,cl_yellow
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,3176.52962499415,399.997416650876,1,0,3156.25,3,0,297.194953761446,507.752433593584,2.0,5.0,298.5,525.0,222.708890707129,225.140704733056,6,0,1,2,"[297.19, 507.75]",0,0,0,0,0,0.0,1.0,175.1509543222645,99.80700225936054,65.73714703270903,80.7594508401339
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,3393.19866665755,216.669041663408,2,2,3372.91,3,0,277.527240236535,418.554275779389,2.0,4.0,266.5,431.5,93.9840411984928,91.3407374217223,7,0,0,2,"[277.53, 418.55]",0,0,0,0,0,-0.0234810958495229,0.0,91.34087584427904,126.76603054446412,77.28250060654092,118.80196799716751
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,3743.07708334527,349.878416687716,1,0,3722.95,4,0,105.386392231802,426.164770803283,0.0,4.0,106.5,439.0,159.032229437935,172.308999144842,8,0,1,2,"[105.39, 426.16]",1,3,0,0,0,0.0248235837250321,1.0,226.9355965907509,172.30813010418282,83.59601724962738,82.32051080988266
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,4326.61204168107,583.534958335804,2,2,4306.42,4,0,288.616777607554,292.270767327038,2.0,2.0,284.0,297.5,220.367874246679,226.938269782431,9,0,0,2,"[288.62, 292.27]",3,5,2,0,0,0.0,0.0,82.38979123653608,90.08812130353259,51.2226707620757,120.92639786250149
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,4593.34037499502,266.728333313949,1,0,4573.01,5,0,201.76344543954,268.37280034891,1.0,2.0,191.5,268.0,94.7483509091319,90.0811530475446,10,0,1,2,"[201.76, 268.37]",0,0,0,0,0,0.0,1.0,71.51744542417605,90.08812130353259,63.88117484830723,122.63309708231296
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,4809.92712499574,216.586750000715,2,0,4790.15,5,0,132.906123949602,249.022233317365,0.0,2.0,117.5,254.0,65.6067831858871,71.5246472707898,11,0,0,2,"[132.91, 249.02]",0,0,0,0,0,-0.0263289387223491,0.0,40.44885783307115,161.60497083938972,77.58723606367224,98.81411083443494
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,4976.61716668517,166.690041689435,3,3,4940.03,5,0,144.165308031703,210.174473268707,0.0,1.0,132.0,219.5,29.9541316015003,40.4464792904484,12,0,0,2,"[144.17, 210.17]",0,0,0,0,0,-0.0543576623225927,1.0,40.44885783307115,149.8900403629274,49.796004859827875,122.43027607581385
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,5476.66924999794,500.052083312767,1,0,5456.35,6,0,294.064621251384,210.062289343042,2.0,1.0,292.5,222.0,150.606274769679,149.89935519863,13,0,1,2,"[294.06, 210.06]",5,3,2,0,0,0.0579919469776867,2.0,82.38979123653608,109.17575784028249,98.36642719952778,180.4014728321252
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,5793.27979165828,316.610541660339,2,0,5773.09,6,0,305.350063784298,137.110378139184,2.0,0.0,315.5,146.0,74.7010709427917,73.8196624312204,14,0,0,2,"[305.35, 137.11]",4,5,2,0,0,0.0299632233774432,0.0,65.85502866144697,167.21266608723158,91.90202228460485,186.22222021015642
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,6026.69075000449,233.410958346212,3,0,6006.36,6,0,366.465362213306,112.588741910258,3.0,0.0,371.5,108.0,60.6011551045028,65.8512744402902,15,0,0,2,"[366.47, 112.59]",5,6,2,0,0,0.0,1.0,80.04567820938242,226.70860702672937,150.2227868866771,125.32891805166115
